title,author,length
He Who Fights with Monsters 7,"By: Shirtaloon, Travis Deverell",Length: 20 hrs and 7 mins
The Light We Carry,By: Michelle Obama,Length: 10 hrs
Hunger,By: Nicoli Gonnella,Length: 28 hrs and 7 mins
Torment,By: Jeremy Robinson,Length: 9 hrs and 59 mins
Dawnshard,By: Brandon Sanderson,Length: 10 hrs and 15 mins
Defiance of the Fall 6,"By: TheFirstDefier, JF Brink",Length: 23 hrs
The Return,By: Dick Morris,Length: 6 hrs and 47 mins
Garnet Flats,By: Devney Perry,Length: 8 hrs and 31 mins
Flame and Fortune,By: Jana DeLeon,Length: 8 hrs and 30 mins
The Mystery of Montague Morgan,By: Karen Baugh Menuhin,Length: 8 hrs and 24 mins
Husband Material,By: Alexis Hall,Length: 13 hrs and 35 mins
Brutal Vows,By: J.T. Geissinger,Length: 10 hrs and 27 mins
The Orville,By: Seth MacFarlane,Length: 3 hrs and 5 mins
Loving Dark Men,By: JA Huss,Length: 12 hrs and 27 mins
Love Lessons,By: Sarina Bowen,Length: 8 hrs and 11 mins
Accords,"By: Dennis Vanderkerken, Dakota Krout",Length: 13 hrs and 43 mins
Unforgivable,By: Natalie Barelli,Length: 9 hrs and 37 mins
God of Malice,By: Rina Kent,Length: 15 hrs and 30 mins
Put Your Ass Where Your Heart Wants to Be,By: Steven Pressfield,Length: 1 hr and 55 mins
The Rational Male - The Players Handbook,By: Rollo Tomassi,Length: 12 hrs and 33 mins
